,Q1,Q2,Q3,Q4
2014,6.48,7.58,7.79,9.83
2015,10,11.53,11.58,17.4
2016,14.80,14.40,24.50,22.20
2017,25,22,26.20,29.90
2018,30,40.70,83.50,90.70
2019,63,95.20,97,112
2020,88.40,90.70,139.30,180.60
2021,184.80,201.25,241.30,308.60
2022,310.05,254.70,343.83,405.28
2023,422.88,466.14,435.06,484.51
